"","user_id","score"
"175",1435777,5
"176",1435805,5
"177",1435837,4
"178",1435858,6
"179",1435864,6
"180",1435868,6
"181",1435869,5
"182",1435882,6
"183",1435884,6
"184",1435886,6
"185",1435893,6
"186",1435912,6
"187",1435913,0
"188",1435922,3
"189",1435930,0
"190",1435939,5
"191",1435944,4
"192",1435947,6
"193",1435949,5
"194",1435955,6
"195",1435978,3
"196",1435986,6
"197",1436008,4
"198",1436009,6
"199",1436014,6
"200",1436023,4
"201",1436061,6
"202",1436062,6
"203",1436073,5
"204",1436077,3
"205",1436081,6
"206",1436085,6
"207",1436094,6
"208",1436112,6
"209",1436117,6
"210",1436186,5
"211",1436188,5
"212",1436218,0
"213",1436224,6
"214",1436234,6
"215",1436236,6
"216",1436243,6
"217",1436294,6
"218",1436308,5
"219",1436313,6
"220",1436334,6
"221",1436352,6
"222",1436358,6
"223",1436361,5
"224",1436382,6
"225",1436406,6
"226",1436413,6
"227",1436418,6
"228",1436423,6
"229",1436434,6
"230",1436467,5
"231",1436475,6
"232",1436481,6
"233",1436490,6
"234",1436491,6
"235",1436499,6
"236",1436504,5
"237",1436505,6
"238",1436524,6
"239",1436525,0
"240",1436529,6
"241",1436531,5
"242",1436542,5
"243",1436551,6
"244",1436553,6
"245",1436561,6
"246",1436582,6
"247",1436600,6
"248",1436606,6
"249",1436613,6
"250",1436633,6
"251",1436663,4
"252",1436668,6
"253",1436669,5
"254",1436673,6
"255",1436684,5
"256",1436694,5
"257",1436709,6
"258",1436719,6
"259",1436738,6
"260",1436746,4
"261",1436748,6
"262",1436775,6
"263",1436803,5
"264",1436808,6
"265",1436815,6
"266",1436817,6
"267",1436829,5
"268",1436831,6
"269",1436841,5
"270",1436842,6
"271",1436847,5
"272",1436863,6
"273",1436868,6
"274",1436870,6
"275",1436898,6
"276",1436908,6
"277",1436921,6
"278",1436923,0
"279",1436927,6
"280",1436931,6
"281",1436935,6
"282",1436944,6
"283",1436958,6
"284",1436959,6
"285",1436971,6
"286",1436972,6
"287",1437022,5
"288",1437044,6
"289",1437055,6
"290",1437067,6
"291",1437083,6
"292",1437086,6
"293",1437089,4
"294",1437112,3
"295",1437128,6
"296",1437139,6
"297",1437150,6
"298",1437152,6
"299",1437154,5
"300",1437174,6
"301",1437200,6
"302",1437202,6
"303",1437205,6
"304",1437219,6
"305",1437223,6
"306",1437227,6
"307",1437230,6
"308",1437253,5
"309",1437263,6
"310",1437276,6
"311",1437301,5
"312",1437313,5
"313",1437332,6
"314",1437346,6
"315",1437351,6
"316",1437386,6
"317",1437406,5
"318",1437461,3
"319",1437464,6
