L1,age,sex,years_music,AOA,LOR,L2class_age,L2class_length,pitch_thresh,matched_for_pitch_thresh,dur_thresh,DSA_pitch_performance,DSA_amplitude_performance,DSA_pitch_pitch_weight,DSA_pitch_amplitude_weight,DSA_pitch_normalized_pitch_weight,DSA_amplitude_pitch_weight,DSA_amplitude_amplitude_weight,DSA_amplitude_normalized_pitch_weight,prosody_pitch_weight,prosody_dur_weight,prosody_normalized_pitch_weight,music_pitch_weight,music_dur_weight,music_normalized_pitch_weight
E,29,2,0,,,,,7.5,yes,19.8333,0.91667,0.77083,3.6705,-0.52885,0.87406,-0.75827,2.4024,0.23991,0.27564,3.6767,0.06974,3.7956,1.9386,0.66192
E,30,1,3,,,,,7.5,yes,5,0.91667,0.85417,2.3099,-0.15749,0.93617,-0.54272,3.3779,0.13843,0.086991,2.9355,0.028781,2.5131,3.6745,0.40615
E,22,2,4,,,,,8,yes,61.5,0.91667,0.9375,2.9507,0.40022,0.88056,-0.3294,3.1668,0.094215,0.52567,1.7621,0.22977,2.6259,2.4139,0.52103
E,20,1,2,,,,,9.1667,yes,43.8333,0.45833,0.6875,-0.13839,-0.13839,0.5,-0.31963,1.0966,0.2257,0.42554,0.9333,0.31317,2.1466,1.5704,0.57751
e,18,2,0,,,,,9.6667,yes,5.5,0.4375,0.89583,-1.6557,6.1455,0.21224,-0.35508,3.5626,0.090635,0.29702,-0.11731,0.71687,0.68625,0.64888,0.51399
e,22,1,0,,,,,10.8333,yes,27.6667,0.9375,0.58333,109.1909,36.397,0.75,0.78058,0.48882,0.61492,0.56094,0.9028,0.38322,2.7987,2.7023,0.50876
E,33,1,4,,,,,11.3333,yes,15.1667,0.79167,0.625,1.6999,0.36588,0.82289,0.68813,0.47262,0.59283,0.26553,1.603,0.14211,2.2647,1.7338,0.56638
e,25,2,0,,,,,11.5,yes,55.5,0.6875,0.52083,0.98472,0.3041,0.76405,-0.034866,0.3099,0.10113,0.40013,1.6093,0.19913,1.7598,1.223,0.58998
E,21,2,0,,,,,11.8333,yes,14.3333,0.77083,0.72917,1.4704,-0.054084,0.96452,-0.042707,0.96109,0.042546,-0.054824,1.2052,0.043511,1.7824,1.688,0.51359
E,22,1,0,,,,,12,yes,20.3333,0.5625,0.89583,0.37964,-0.17523,0.6842,-1.2153,3.9683,0.23445,0.54734,2.1711,0.20135,2.5381,1.8627,0.57674
E,26,2,0,,,,,12.6667,yes,38.8333,0.8125,0.85417,1.4704,0.054084,0.96452,-0.44525,2.6235,0.14509,0.45404,0.76452,0.3726,1.0847,1.9225,0.3607
E,30,1,0,,,,,13.3333,yes,18.6667,0.66667,0.83333,0.58011,1.69E-15,1,7.28E-15,1.8035,4.04E-15,0.40946,3.0614,0.11797,3.1458,2.1184,0.59759
E,35,1,0,,,,,14.1667,yes,18.1667,0.85417,0.8125,2.944,-0.69094,0.80992,0.52656,1.6104,0.2464,0.60731,2.1484,0.22038,2.5279,2.5122,0.50156
e,33,2,1,,,,,14.8333,yes,12,0.70833,0.79167,0.5841,0.66143,0.46896,-0.11241,1.5532,0.067492,0.64448,1.0326,0.38428,1.0729,1.2673,0.45846
E,18,1,0,,,,,15.3333,yes,44.8333,0.75,0.58333,1.3135,0.10196,0.92797,-0.23236,0.52939,0.30504,0.42236,1.4866,0.22125,3.1407,1.5113,0.67513
E,19,2,2,,,,,16,yes,38.6667,0.45833,0.85417,-0.14806,0.56977,0.20626,-0.44019,1.7773,0.19851,0.12192,0.7121,0.14619,0.72029,0.74833,0.49045
E,23,1,0,,,,,16.5,yes,27.8333,0.64583,0.5625,0.61445,0.26312,0.70017,0.57898,0.43152,0.57296,0.45112,1.5426,0.22627,2.0556,1.2387,0.62399
e,19,2,0,,,,,17.8333,yes,9.8333,0.45833,0.66667,0.071177,0.35065,0.16874,1.91E-15,0.93302,2.05E-15,0.28062,0.69964,0.28627,1.2108,0.8551,0.5861
E,31,2,1,,,,,18.6,yes,49,0.625,0.9375,0.3391,0.87085,0.28026,0.50187,4.3519,0.1034,4.49E-15,0.64971,6.92E-15,1.1609,0.95145,0.54957
E,23,1,1,,,,,19.6667,yes,25.1667,0.72917,0.6875,1.3981,-0.3704,0.79056,1.5723,1.1268,0.58252,0.79646,0.9437,0.45769,2.8692,1.67,0.63209
E,28,2,0,,,,,20,yes,45,0.6875,0.60417,0.77336,0.11866,0.86698,-0.1134,0.61445,0.1558,-0.026458,1.1762,0.021999,1.1245,0.79322,0.58637
E,24,2,0,,,,,21.5,yes,25,0.45833,0.77083,-0.35278,0.35278,0.5,-0.7483,1.1663,0.39083,0.47473,0.36559,0.56494,0.23032,0.28831,0.4441
E,33,2,0,,,,,22.5,yes,39.5,0.8125,0.77083,1.9559,-0.20343,0.90579,0.073063,1.9501,0.036113,1.071,0.67011,0.61512,1.6072,1.4749,0.52146
e,20,2,8,,,,,22.5,yes,35.2857,0.52083,0.75,0.3054,0.034366,0.89885,-0.68793,1.5618,0.30579,0.099084,0.64056,0.13396,2.4121,2.1223,0.53196
E,30,2,0,,,,,22.8333,yes,23.5,0.39583,0.83333,-0.30808,0.17269,0.64081,-0.84976,2.0455,0.2935,0.30993,0.69187,0.30938,1.9956,2.0671,0.49121
E,32,1,0,,,,,25.8333,yes,32.5,0.52083,0.70833,0.037134,0.60246,0.058059,-0.088146,1.023,0.079328,0.26256,1.3594,0.16188,0.85504,0.69495,0.55164
E,21,1,0,,,,,26.3333,yes,6.4,0.83333,0.64583,1.7791,-0.1251,0.9343,0.036019,0.456,0.073206,0.64498,0.87629,0.42397,2.0025,1.9871,0.50193
E,35,1,0,,,,,27,yes,23.5,0.77083,0.75,1.6104,0.52656,0.7536,0.2095,1.4013,0.13006,-0.14414,1.7491,0.076132,2.4019,1.4841,0.6181
E,25,1,0,,,,,28.6667,no,5.5,0.60417,0.875,0.71829,1.4815,0.32653,-0.1897,2.7679,0.064139,0.11128,1.2901,0.079409,1.2594,1.7561,0.41765
E,22,1,0,,,,,29.8333,no,16,0.6875,0.75,0.88918,-0.21007,0.8089,-0.49062,1.6703,0.22705,0.24809,0.73638,0.25201,2.032,1.3315,0.60414
E,26,2,10,,,,,30.6667,no,54.8333,0.54167,0.70833,0.31555,1.2473,0.20191,-0.50336,0.87093,0.36627,0.45547,1.5268,0.22977,1.8605,1.1603,0.61591
E,19,2,0,,,,,31.6667,no,34.5,0.85417,0.5625,2.9062,0.88092,0.76739,0.79908,0.36371,0.68721,0.025838,0.39238,0.061782,1.6168,1.6306,0.49787
e,29,2,2,,,,,32,no,52,0.77083,0.66667,0.98472,0.3041,0.76405,0.21806,0.4959,0.30542,0.26626,0.64204,0.29315,-0.48868,-0.43717,0.52781
e,33,1,0,,,,,34.6667,no,42.3333,0.85417,0.54167,1.4299,0.48493,0.74674,-0.48822,0.1436,0.77272,1.3016,0.19622,0.869,0.54599,0.5369,0.5042
E,25,1,,,,,,40.8333,no,59.7143,0.4375,0.70833,-0.31548,0.24661,0.56126,-0.080148,0.75235,0.096274,0.13222,0.41888,0.23992,0.33043,0.025343,0.92877
e,26,2,1,,,,,41.8333,no,9.6667,0.60417,0.8125,0.4164,-1.1164,0.27166,-0.62655,1.9857,0.23985,0.32701,0.61609,0.34674,1.0441,0.76035,0.57862
e,32,1,,,,,,61.1667,no,56.8333,0.5625,0.52083,0.2437,-0.2437,0.5,-0.38777,0.31931,0.54841,0.44777,0.9549,0.31923,0.40015,0.22205,0.64312
E,26,1,20,,,,,69.1667,no,44,0.45833,0.75,-0.35878,0.42748,0.45631,-0.2759,1.075,0.20424,0.13076,0.31759,0.29166,0.35252,0.37761,0.48282
S,37,1,0,36,0.4,9.5,9.5,4.3333,yes,17,0.58333,0.875,0.78431,1.7986,0.30365,0.16838,2.5034,0.063021,0.72779,1.7672,0.29169,1.4888,1.0436,0.58791
S,27,2,0,26,0.5,7,12,5.6667,yes,26.8333,0.89583,0.4375,2.7006,0.090735,0.96749,0.97832,-0.13786,0.87649,0.062767,1.1113,0.05346,1.9924,1.494,0.57148
S,33,1,0,28,5,12,5,9.6667,yes,12.8333,0.66667,0.83333,1.2298,-0.21844,0.84916,-0.29435,2.1259,0.12162,1.1905,1.1905,0.5,6.0451,2.351,0.71999
S,25,1,8,22,3,10,6,10.3333,yes,27.8333,0.60417,0.70833,0.78742,0.28016,0.73758,0.28229,1.1582,0.19597,1.7978,1.2502,0.58982,2.3882,1.6564,0.59047
S,26,1,0,23,3,8,10,11,yes,43.5,0.6875,0.75,1.586,1.4038,0.53048,0.54796,1.0195,0.34958,1.7083,0.4692,0.78452,1.4173,1.1319,0.55598
S,18,2,0,14,4,2,16,12.6667,yes,52.6667,0.72917,0.52083,1.0363,0.22835,0.81944,0.77336,0.11866,0.86698,-0.066891,0.38421,0.14828,1.1486,0.56241,0.67129
S,34,1,1,28,1,8,15,13.8333,yes,7.3333,0.66667,0.5,1.0295,-0.26504,0.79526,0.58011,2.09E-15,1,1.0545,0.49503,0.68054,1.5872,1.669,0.48744
S,27,1,1,23,5,6,15,14.1667,yes,18.1667,0.77083,0.83333,1.7158,-0.42596,0.80111,0.1251,1.7791,0.065699,0.26701,1.6821,0.13699,1.8265,1.1544,0.61274
S,28,2,0,23,6,7,20,15.6667,yes,16.3333,0.54167,0.66667,0.14469,0.49203,0.22724,0.29971,0.58105,0.34029,0.15869,0.93441,0.14517,1.2065,0.94583,0.56056
S,34,1,0,34,,8,20,16.1667,yes,6.1667,0.58333,0.60417,0.69649,0.85002,0.45036,0.11674,0.69851,0.14319,1.0298,0.53989,0.65604,2.0548,1.694,0.54812
S,38,1,0,35,3,7,13,17.3333,yes,15,0.5625,0.89583,0.20643,-0.67556,0.23405,-1.2153,3.9683,0.23445,0.29572,1.3055,0.18469,1.3688,1.101,0.55423
S,32,1,0,26,5,6,13,17.8333,yes,19,0.66667,0.79167,0.8866,0.42917,0.67382,-9.51E-15,2.5331,3.75E-15,1.3574,1.2119,0.52832,7.8194,2.2516,0.77643
S,30,2,0,26,4.5,10,9,20,yes,11.3333,0.85417,0.54167,2.3969,0.56909,0.80813,-0.27632,0.27632,0.5,0.692,0.9685,0.41674,1.353,1.3169,0.50676
S,26,1,0,25,0.75,5,23,20.1667,yes,40.3333,0.5,0.77083,-0.19582,1.2583,0.13467,-3.7675,4.5479,0.45307,0.54112,0.97025,0.35803,1.0798,1.0371,0.51009
S,23,1,0,21,2,11,12,21.8333,yes,35.8571,0.85417,0.66667,2.5143,0.93462,0.72901,0.8143,0.96782,0.45693,1.7306,0.58098,0.74866,1.555,1.2907,0.54645
S,29,1,0,26,3,6,12,22,yes,32.3333,0.54167,0.66667,0.21379,0.42028,0.33717,0.54796,1.0195,0.34958,0.75425,1.3977,0.35049,1.2893,1.2047,0.51696
S,41,2,0,38,3,5,9,24.5,yes,42,0.625,0.79167,0.50336,0.87093,0.36627,0.46775,1.6277,0.22322,-0.13358,0.72094,0.15632,0.74999,0.54982,0.577
S,24,1,1,21,2,6,12,25.6667,no,56.3333,0.64583,0.64583,0.61445,0.26312,0.70017,-0.1898,0.61856,0.2348,0.16518,1.2567,0.11617,1.0877,0.8145,0.57182
S,27,2,0,24,3,11,9,27.8333,no,36,0.375,0.8125,-0.81206,0.81206,0.5,-0.29898,1.6813,0.15098,0.38016,1.1287,0.25195,0.96172,0.73353,0.5673
S,28,2,0,28,0.75,10,12,33.5,no,19.8333,0.54167,0.70833,4.57E-16,0.58011,7.88E-16,0.26284,0.96224,0.21455,1.2168,0.62162,0.66187,1.059,0.93017,0.53239
S,27,1,0,26,1.25,5,11,35.1667,no,40.1667,0.64583,0.75,0.54018,0.83324,0.39331,-0.092821,1.1372,0.07546,-0.043423,0.8451,0.048871,0.84788,0.56757,0.59902
S,42,1,0,36,6,24,5,36.3333,no,32,0.75,0.66667,1.2,-0.29169,0.80446,-0.36908,0.50874,0.42045,1.3497,2.0279,0.3996,1.579,1.3868,0.5324
S,38,1,0,37,0.75,7,11,43,no,10.3333,0.60417,0.83333,0.63343,0.42139,0.60051,-0.16128,2.3739,0.063616,-0.032028,0.83664,0.03687,0.91127,0.75607,0.54654
S,30,1,0,23,7,6,13,45.3333,no,21,0.79167,0.625,1.2739,0.19807,0.86544,-0.33004,0.7138,0.31618,1.5673,1.1689,0.5728,1.7088,1.6961,0.50187
S,25,1,0,22,1,7,18,48.3333,no,23.3333,0.47917,0.625,-0.10991,0.10991,0.5,-0.073924,0.36444,0.16864,0.35033,0.33306,0.51264,0.24065,-0.14216,0.62865
S,29,2,0,24,5,11,7,57.6667,no,19.6667,0.625,0.66667,0.41395,-0.14084,0.74613,3.19E-16,0.56161,5.67E-16,0.63999,0.88257,0.42034,2.0099,2.1958,0.4779
S,19,2,0,18,1,9,8,67.3333,no,15,0.35417,0.47917,-0.62321,-0.042729,0.93584,0.10478,-0.034967,0.74978,0.13104,1.0232,0.11353,1.4688,1.2069,0.54894
