,Measure.overall,Measure,Study,Tonal_N,Non_tonal_N,Tonal.Mean,Tonal.SD,Non.tonal.Mean,Non.tonal.SD,Cohen.s.D,Criteria,Measure.Description,Measure.Classification,Music.Lesson,Notes,Flip,Tonal_language,Comparison_language,sd_pool,cohen_d,total_n,hedge_g,se_smd,se_g,var_smd,var_g
38,Mistuned detection,Mistuned detection,Wong et al. (2012),408,154,94.2,6.6,94.2,7.4,NA,% correct,"pitch of the same downbeat as off-beat was mistuned by a quarter tone with tonal & syntactic violation; 12 congruent, 12 incongruent",,Slight differences across groups; Cantonese speakers had on average a bit more training ,no significant group differences. Note that this task includes both mistuning and beat misalignment,NA,Cantonese,English or French,6.827884006,0,562,0,0.094575297,0.094575297,0.008944487,0.008944487
39,Montreal Battery of Evaluation of Amusia,Melody combined,Ngo et al. (2016),8,8,87,6,80,5,NA,% correct,"scale, contour, interval, rhythm, meter, memory subtests",,8 musicians for each group was included in study but not here,tonal speaker advantage overall,NA,Vietnamese,English,5.522680509,1.808061184,16,1.709439665,0.595284507,0.585956853,0.354363644,0.343345433
40,Montreal Battery of Evaluation of Amusia,Rhythm,Ngo et al. (2016),8,8,86,8,80,6,NA,% correct,,Rhythm ,,,NA,Vietnamese,English,7.071067812,0.848528137,16,0.802244784,0.522015325,0.519723385,0.2725,0.270112397
41,Montreal Battery of Evaluation of Amusia,Meter,Ngo et al. (2016),8,8,78,17,84,15,NA,% correct,,Meter,,,NA,Vietnamese,English,16.03121954,-0.374269717,16,-0.353855005,0.504358436,0.503897725,0.254377432,0.253912918
42,Montreal Battery of Evaluation of Amusia,Memory,Ngo et al. (2016),8,8,90,10,85,11,NA,% correct,,Memory,,,NA,Vietnamese,English,10.51189802,0.475651494,16,0.449706867,0.507020844,0.506280439,0.257070136,0.256319883
43,Interval discrimination/Musical Task,Interval discrimination/Musical Task,Stevens et al. (2013),24,24,0.91,0.09,0.89,0.11,NA,% correct,"descending and ascending major and minor musical intervals; 12 same and 12 different interval combos (4 contour and interval differed, 4 interval differed, 4 contour differed)","Unsure; doesn't seem to be fine tuned, but involves intervals only",participants had little to no musical training,no significant group difference; unit. is accuracy,NA,Thai,English,0.100498756,0.199007438,48,0.195745021,0.289388795,0.289365616,0.083745875,0.08373246
44,Frequency discrimination,Frequency discrimination,Stevens et al. (2013),24,24,11.08,6.08,13.4,6.96,NA,Minimum discernable difference (Hz),tones ranged from 392 to 416 Hz by steps of 2Hz. All tones are paired with lowest tone,"Fine-tuned, tones",participants had little to no musical training,no significant group difference; unit is minimum discernable difference (Hz),TRUE,Thai,English,6.534829761,-0.355020725,48,-0.349200713,0.290940281,0.2908669,0.084646247,0.084603554
45,Musical Ear Test,Melodic subset,Choi (2021),30,30,74.8077,6.27431,66.1538,11.23155,NA,Accuracy,,,,,NA,Cantonese,English,9.097106171,0.951280532,60,0.93892624,0.272411066,0.272053648,0.074207789,0.074013187
46,Musical Ear Test,Rhythm subset,Choi (2021),30,30,68.0128,9.77302,67.6923,10.5016,NA,Accuracy,,,,,NA,Cantonese,English,10.14385337,0.031595488,60,0.031185157,0.258214999,0.258214583,0.066674986,0.066674771
47,Relative pitch recognition ,Relative pitch recognition,Hove et a. (2010),24,14,0.565770808,0.188910828,0.4553571,0.08506107,NA,% correct,,,,,NA,Chinese or Hmong,English,0.159414549,0.692620023,38,0.678089533,0.345553724,0.345174317,0.119407376,0.119145309
48,Pitch Discrimination,Pitch Discrimination,Jasmin et al. (2021),31,62,15.75208,11.046897,20.91505387,13.19276398,NA,Threshold,,,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,12.52602053,-0.412179899,93,-0.408773453,0.22203715,0.22200329,0.049300496,0.049285461
49,Duration Discrimination,Duration Discrimination,Jasmin et al. (2021),31,62,28.95169,12.75553,26.00145677,13.9838033,NA,Threshold,,,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,13.59114871,0.21707019,93,0.215276221,0.220545749,0.220536295,0.048640427,0.048636257
